strategy,trades,win_rate_pct,avg_r,median_r,total_r,best_r,worst_r
Jason Berry,244,32.79,-0.393,-1.0,-95.996,5.233,-1.0
Lance Breitstein,108,56.48,0.067,0.295,7.238,1.53,-1.0
