strategy,symbol,date,entry_time,exit_time,direction,setup,entry,stop,risk_pct,target_r,partial_hit,exit_reason,pnl_r
Jason Berry,ZB=F,2026-06-25,11:05,15:50,short,OR breakdown + EMA trend,114.2188,114.3391,0.105,1.0,True,time,1.539
Jason Berry,ZB=F,2026-06-26,10:40,10:50,long,OR breakout + EMA trend,114.0312,113.9208,0.097,1.0,True,breakeven,0.5
Jason Berry,ZB=F,2026-06-29,12:25,13:00,short,OR breakdown + EMA trend,114.0938,114.1625,0.06,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-06-30,10:05,10:10,short,OR breakdown + EMA trend,113.75,113.8404,0.079,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-07-01,10:05,15:50,long,OR breakout + EMA trend,112.7188,112.5547,0.146,1.0,False,time,-0.571
Jason Berry,ZB=F,2026-07-02,10:45,12:05,long,OR breakout + EMA trend,112.5938,112.475,0.105,1.0,True,breakeven,0.5
Jason Berry,ZB=F,2026-07-06,10:25,10:40,short,OR breakdown + EMA trend,112.2812,112.3734,0.082,1.0,True,breakeven,0.5
Jason Berry,ZB=F,2026-07-07,10:05,10:30,short,OR breakdown + EMA trend,111.8438,111.9643,0.108,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-07-08,10:15,12:05,short,OR breakdown + EMA trend,111.0,111.0828,0.075,1.0,True,breakeven,0.5
Jason Berry,ZB=F,2026-07-09,10:30,10:30,long,OR breakout + EMA trend,111.25,111.1672,0.074,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-07-10,10:30,10:30,short,OR breakdown + EMA trend,111.1875,111.2812,0.084,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-07-13,10:15,10:15,short,OR breakdown + EMA trend,110.7812,110.9018,0.109,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-07-14,10:05,10:15,long,OR breakout + EMA trend,111.0938,110.9859,0.097,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-07-15,10:50,11:05,long,OR breakout + EMA trend,111.2188,111.1406,0.07,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-07-16,10:05,10:40,long,OR breakout + EMA trend,110.7812,110.6674,0.103,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-07-17,12:00,12:00,short,OR breakdown + EMA trend,111.375,111.4855,0.099,1.0,False,stop,-1.0
Jason Berry,ZB=F,2026-07-20,10:05,11:10,short,OR breakdown + EMA trend,110.9375,111.0156,0.07,1.0,True,breakeven,0.5
Jason Berry,ZB=F,2026-07-22,10:10,10:35,short,OR breakdown + EMA trend,110.125,110.2288,0.094,1.0,True,breakeven,0.5
Jason Berry,ZB=F,2026-07-23,12:20,13:00,long,OR breakout + EMA trend,109.5312,109.4578,0.067,1.0,False,stop,-1.0
